cell_ID,cell_value
1,0.0006716
2,0.0006357
3,0.0007823
4,0.0007358
5,0.0007213
6,0.0007846
7,0.0006895
8,0.0007779
9,0.0007194
10,0.0007665
11,0.0007365
12,0.0007555
13,0.0006598
14,0.0007496
15,0.0008171
17,0.0007008
18,0.0007234
19,0.0007456
20,0.0006628
21,0.0006741
22,0.0007383
24,0.0006973
25,0.0007122
26,0.0007811
27,0.0007336
28,0.0007402
29,0.0007641
30,0.000747
31,0.0007514
32,0.0007155
33,0.0007543
34,0.0007083
35,0.0007686
36,0.0007189
37,0.0007561
38,0.0007282
40,0.0006784
41,0.0007753
42,0.0007254
45,0.0007177
46,0.000741
47,0.0007485
48,0.0007863
49,0.0007864
50,0.0007917
51,0.0007198
52,0.000694
53,0.0007412
54,0.0006756
55,0.000735
56,0.0007109
57,0.0007398
60,0.0007107
61,0.0007466
62,0.0007215
64,0.0007135
65,0.0006333
66,0.0007629
67,0.0007472
68,0.000751
69,0.0006854
70,0.0006248
71,0.0007004
72,0.0007787
75,0.0007665
76,0.0007196
77,0.0006942
78,0.000739
79,0.000678
80,0.000737
81,0.0007509
82,0.0007476
83,0.0007714
84,0.0006696
85,0.0008275
86,0.0007219
87,0.0007958
88,0.0007339
89,0.0006546
91,0.0007558
92,0.0007558
93,0.0007083
94,0.000769
96,0.0007659
97,0.0007274
98,0.00073
99,0.0007408
100,0.0007282
101,0.0007048
103,0.0007496
108,0.0006748
102,0.0007373
104,0.0006319
105,0.0006125
106,0.0006082
107,0.0006538
111,0.0007347
121,0.0007745
131,0.0006502
141,0.0008466
151,0.0007717
171,0.0008242
181,0.0007606
191,0.0007523
201,0.0006913
202,0.0007259
201,0.0007
204,0.0006714
206,0.0006986
211,0.0006327
212,0.0006407
213,0.0007142
221,0.0007925
241,0.0007388
251,0.0007754
261,0.0007269
271,0.0007019
281,0.000717
291,0.0007123
301,0.0006981
302,0.000719
311,0.0007362
321,0.0007964
331,0.0007128
341,0.0007393
351,0.0006955
361,0.000729
371,0.0007108
381,0.0007356
401,0.0007261
401,0.0007159
411,0.0007432
421,0.0007167
451,0.000726
461,0.0006987
471,0.0007765
481,0.0007514
491,0.0007577
501,0.000731
502,0.0007905
511,0.0007604
521,0.0006808
531,0.0007098
541,0.0007117
551,0.0006807
561,0.0007002
571,0.0007196
601,0.0007904
611,0.0006986
612,0.0007932
621,0.0006718
641,0.0007645
651,0.000772
661,0.0006978
671,0.0007079
681,0.0007052
691,0.0007655
701,0.0006909
702,0.0006344
711,0.0007119
721,0.0007326
751,0.0007299
761,0.0007247
771,0.000734
781,0.0007541
791,0.0007193
801,0.0007137
802,0.000731
811,0.0007469
821,0.0007379
831,0.0007016
841,0.0007286
851,0.0007468
861,0.0007063
871,0.0007105
881,0.00076
891,0.0007707
901,0.0006911
911,0.0007801
921,0.0007004
931,0.0007639
941,0.0007319
961,0.0007166
971,0.0006753
981,0.0007196
991,0.0007115
1001,0.0007448
1011,0.0007327
1021,0.0007289
1041,0.0006879
1051,0.0006241
1061,0.000628
1071,0.0006305
2011,0.0006859
2031,0.0006703
2061,0.0006199
2111,0.0006347
2131,0.0007798
